address,admissions_email,admissions_page,category,city,completeness_score,contact_page,country,coverImage,created_at,data_last_verified_date,data_quality,dedupe_key,description,descriptionAr,descriptionKu,detected_language,directions_link,distance,district,email,external_id,facebook,foursquare_category,fsq_id,governorate,governorate_seed,id,imageUrl,instagram,institution_id,institution_name,institution_type,isFeatured,isPremium,isVerified,is_active,is_published,is_suspicious,last_seen_at,lat,latitude,linkedin,lng,longitude,main_email,main_phone,maps_link,maps_url,name,nameAr,nameKu,name_ar,name_en,name_ku,needs_review,normalized_address,normalized_facebook,normalized_instagram,normalized_name,normalized_phone,normalized_website,notes,official_source_1,official_source_2,official_source_3,official_website,openHours,original_name,original_phone,phone,phone_status,priceRange,public_private,rating,raw_data,registrar_email,registrar_page,reviewCount,scraped_at,search_tags,source,source_confidence,source_file,status,subcategory,tags,telegram,translated_name,type,updated_at,user_category,verification_status,verified,website,whatsapp,whatsapp_public_link,x_twitter,youtube,﻿name
"Street 9, Krmat Ali, Dhi Qar",,,fuel,Krmat Ali,,,,,,,,,,,,,,,,,,,,,,,001d3069-9137-47c5-93c0-730d9f571fee,,,,,,false,false,false,,,False,,,,,,,,,,,Basra Fuel - Krmat Ali,,,,,,,,,,,077022020686,,,,,,,,,077022020686,077022020686,invalid,,,0,,,,0,,,,,businesses_NO_STATUS.csv,,,{},,,,,,,,,,,,,
"Street 21, Diwaniyah, Qadisiyyah",,,furniture,Diwaniyah,,,,,,,,,,,,,,,,,,,,,,,001e23f7-0da2-46f5-abe9-136664156e1c,,,,,,false,false,false,,,False,,,,,,,,,,,Baghdad Furniture 4 - Diwaniyah,,,,,,,,,,,079037320809,,,,,,,,,079037320809,079037320809,invalid,,,0,,,,0,,,,,businesses_NO_STATUS.csv,,,{},,,,,,,,,,,,,
"Street 10, Pirde, Erbil",,,clothes,Pirde,,,,,,,,,,,,,,,,,,,,,,,0029f684-e9c2-4bde-a56e-f90b66ff6e54,,,,,,false,false,false,,,False,,,,,,,,,,,Classic Wear - Pirde,,,,,,,,,,,079045195285,,,,,,,,,079045195285,079045195285,invalid,,,0,,,,0,,,,,businesses_NO_STATUS.csv,,,{},,,,,,,,,,,,,
"Street 7, Kifl, Babil",,,cafe,Kifl,,,,,,,,,,,,,,,,,,,,,,,00422273-f527-4591-a660-7a85b143a5c7,,,,,,false,false,false,,,False,,,,,,,,,,,Erbil Espresso - Kifl,,,,,,,,,,,079011008360,,,,,,,,,079011008360,079011008360,invalid,,,0,,,,0,,,,,businesses_NO_STATUS.csv,,,{},,,,,,,,,,,,,
"Street 15, Al-Multaqa, Kirkuk",,,restaurant,Al-Multaqa,,,,,,,,,,,,,,,,,,,,,,,0046fa8d-4f26-41bc-98ae-49e70545a021,,,,,,false,false,false,,,True,,,,,,,,,,,Dijla Restaurant 3 - Al-Multaqa,,,,,,,,,,,078111647291,,,,,,,,,078111647291,078111647291,invalid,,,0,,,,0,,,,,businesses_NO_STATUS.csv,,,{},,,,,,,,,,,,,
"Street 23, Sirwan, Halabja",,,mosque,Sirwan,,,,,,,,,,,,,,,,,,,,,,,00471c7c-72df-4e4d-a69c-0038346234a8,,,,,,false,false,false,,,False,,,,,,,,,,,Imam Ali Shrine 4 - Sirwan,,,,,,,,,,,077014546258,,,,,,,,,077014546258,077014546258,invalid,,,0,,,,0,,,,,businesses_NO_STATUS.csv,,,{},,,,,,,,,,,,,
"Street 22, Al-Aziziyah, Wasit",,,school,Al-Aziziyah,,,,,,,,,,,,,,,,,,,,,,,0055d5e7-50c8-46ed-8c7b-a128c2c6495b,,,,,,false,false,false,,,False,,,,,,,,,,,Baghdad Academy 4 - Al-Aziziyah,,,,,,,,,,,077029386626,,,,,,,,,077029386626,077029386626,invalid,,,0,,,,0,,,,,businesses_NO_STATUS.csv,,,{},,,,,,,,,,,,,
"Street 20, Sawa, Babil",,,school,Sawa,,,,,,,,,,,,,,,,,,,,,,,005c451c-9b64-4724-a21a-fe782722dea8,,,,,,false,false,false,,,False,,,,,,,,,,,Progress Academy 3 - Sawa,,,,,,,,,,,078114955909,,,,,,,,,078114955909,078114955909,invalid,,,0,,,,0,,,,,businesses_NO_STATUS.csv,,,{},,,,,,,,,,,,,
"Street 18, Rabiya, Mosul",,,cafe,Rabiya,,,,,,,,,,,,,,,,,,,,,,,00614843-1ac6-45c4-9848-fd42d121db34,,,,,,false,false,false,,,False,,,,,,,,,,,Basra Cafe 3 - Rabiya,,,,,,,,,,,078211261290,,,,,,,,,078211261290,078211261290,invalid,,,0,,,,0,,,,,businesses_NO_STATUS.csv,,,{},,,,,,,,,,,,,
"Street 12, Tel Afar, Mosul",,,cafe,Tel Afar,,,,,,,,,,,,,,,,,,,,,,,00741b93-8361-4ee8-88f3-e6f4717fd9c1,,,,,,false,false,false,,,False,,,,,,,,,,,Palmera Coffee 3 - Tel Afar,,,,,,,,,,,079017301521,,,,,,,,,079017301521,079017301521,invalid,,,0,,,,0,,,,,businesses_NO_STATUS.csv,,,{},,,,,,,,,,,,,
