name,name_en,phone,website,email,address,city,governorate,category,subcategory,latitude,longitude,facebook,instagram,data_quality,verified,source
مارکیتی قەراجی,Qaraji market,+9647504775465,,,شەقامی مەخموور,أربيل,Erbil,Shop/Retail,shop,36.1212188,43.96933,,,real,false,osm
موبایلی ئەیمەن,Ayman mobile,+9647507858043,,,شەقامی مەخموور,أربيل,Erbil,Shop/Retail,shop,36.1216648,43.9693814,,,real,false,osm
مطلیب مارکیت,Mutalib market,+9647504831950,,,,أربيل,Erbil,Shop/Retail,shop,36.1281472,43.9644373,,,real,false,osm
ماركێتى دووبرا,Market Dubra,+9647504917843,https://www.facebook.com/profile.php?id=100026143726868,,"07504917843, شةقامى سةركاريز",أربيل,Erbil,Shop/Retail,shop,36.1280402,43.9637309,https://www.facebook.com/profile.php?id=100026143726868,,real,false,osm
مارکێتی هەڵمەت 2,,+9647507598090,,,سەرکارێز,Erbil,Erbil,Shop/Retail,shop,36.1284418,43.9630447,,,real,false,osm
مارکیتی فەرهەنگ,Farhang market,+9647507043700,,,,أربيل,Erbil,Shop/Retail,shop,36.1276633,43.9702576,,,real,false,osm
تیم مارت,Teammart,+9647517423678,https://team-mart.com/,info@team-mart.com,شارۆچکەی ناوەندیی هەولێر,هەولێر,Erbil,Shop/Retail,shop,36.125772,44.0097125,,,real,false,osm
مارکێتی ئێف کەی,FK market,+9647501737550,,,,هەولێر,Erbil,Shop/Retail,shop,36.121159,44.0191206,,,real,false,osm
Market Lyhat,,+9647501077628,https://www.facebook.com/4AHK4,,"rozhbayani st, قضاء أربيل",أربيل,Erbil,Shop/Retail,shop,36.1840292,43.9590598,,,real,false,osm
تیم مارت,Teammart,+9647517411846,https://team-mart.com/,info@team-mart.com,شارۆچکەی ناوەندیی هەولێر,هەولێر,Erbil,Shop/Retail,shop,36.1245562,44.0226524,,,real,false,osm
S.H Mobile,,+9647507283373,,,,هەولێر,Erbil,Shop/Retail,shop,36.1244954,44.021915,,,real,false,osm
تیم مارت,Teammart,+9647517411847,https://team-mart.com/,info@team-mart.com,شارۆچکەی ناوەندیی هەولێر,هەولێر,Erbil,Shop/Retail,shop,36.1272465,44.0171227,,,real,false,osm
تيم مارت,TEAMMART,+9647517411849,https://team-mart.com/,info@team-mart.com,"شەقامی پیرباڵ مەحمود, شارۆچکەی ناوەندیی هەولێر",هەولێر,Erbil,Shop/Retail,shop,36.1380464,44.016045,,,real,false,osm
مارکێتی جیهان,Jihan market,+9647501737550,,,شارۆچکەی ناوەندیی هەولێر,هەولێر,Erbil,Shop/Retail,shop,36.1377181,44.0166665,,,real,false,osm
مۆبایلی ئیسلام فۆن,,+9647503446261,,muhammedabdulqadir8@gmail.com,"28, شەقامی ڕۆژبەیانی",هەولێر,Erbil,Shop/Retail,shop,36.1890996,43.9586876,,,real,false,osm
هيوا فؤن بؤ خزمه ت گوزاري موبايل,HiwaPhone center for Mobile repairing,+9647508350750,,,,Erbil,Erbil,Shop/Retail,shop,36.1731648,43.9707963,,,real,false,osm
رةوةند2,,,,,,Erbil,Erbil,Shop/Retail,shop,36.1879241,43.9576998,,,partial,false,osm
تیم مارت,TEAMMART,+9647517411845,https://team-mart.com/,info@team-mart.com,شارۆچکەی ناوەندیی هەولێر,هەولێر,Erbil,Shop/Retail,shop,36.1281559,44.0333307,,,real,false,osm
ماركيتى باران,Market Baran,+9647504857679,,Hamabaiz20@gmail.com,شەقامی عەبدوڵڵا حەداد,Erbil,Erbil,Shop/Retail,shop,36.1574421,43.9728435,,,real,false,osm
