id,name,name_en,phone,website,email,address,city,governorate,country,latitude,longitude,category,subcategory,type,facebook,instagram,fsq_id,external_id,source,data_quality,verified,created_at,updated_at,scraped_at,search_tags,raw_data,normalized_name,normalized_phone,normalized_address,normalized_website,normalized_facebook,normalized_instagram,whatsapp,maps_url,dedupe_key,completeness_score,source_confidence,last_seen_at,is_active,needs_review
675e793e-296d-4770-8db3-0c98a0f8643d,كوفي نيروز,,,,,,Basra,Basra,Iraq,30.45892380,47.80136410,Cafe,cafe,,,,osm_node_11951810485,osm_node_11951810485,osm,partial,false,2026-04-02 14:58:44.408976+00,2026-04-02 14:58:44.408976+00,2026-04-02 14:58:44.408976+00,,"{""name"": ""كوفي نيروز"", ""_extra"": {""all_phones"": []}, ""amenity"": ""cafe""}",,,,,,,,,,0,50,,true,false
34453b11-b859-4c7a-ac3e-380617d52d9b,كوفي الخليج العربي,,,,,,Basra,Basra,Iraq,30.46926500,47.78893510,Cafe,cafe,,,,osm_node_11951810487,osm_node_11951810487,osm,partial,false,2026-04-02 14:58:44.408976+00,2026-04-02 14:58:44.408976+00,2026-04-02 14:58:44.408976+00,,"{""name"": ""كوفي الخليج العربي"", ""_extra"": {""all_phones"": []}, ""amenity"": ""cafe""}",,,,,,,,,,0,50,,true,false
d4792021-ecdc-403a-9170-d8bd057aa1c5,نانی تیری پایتەخت,,,,,,Erbil,Erbil,Iraq,36.16564210,44.02328930,Cafe,cafe,,,,,,osm,partial,false,2026-04-02 12:21:56.951869+00,2026-04-02 12:21:56.951869+00,2026-04-02 12:21:56.951869+00,,"{""name"": ""نانی تیری پایتەخت"", ""shop"": ""bakery"", ""_extra"": {""all_phones"": []}}",نانی تیری پایتەخت,,,,,,,,name:نانی تیری پایتەخت|erbil|cafe,35,50,2026-04-02 12:21:57.203+00,true,false
610316e6-a65f-4899-a4d7-cf10b7bb3ac9,کافتریا و نانی بەیانیانی خانی,Xani cafe & breakfast,+9647700710303,https://m.facebook.com/xanicafe,xanicafe@gmail.com,شاری نەورۆز;71 Nawroz,Sulaymaniyah,Sulaymaniyah,Iraq,35.56127360,45.37895940,Cafe,cafe,,,,,,osm,real,false,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,,"{""name"": ""کافتریا و نانی بەیانیانی خانی"", ""email"": ""xanicafe@gmail.com"", ""level"": ""0"", ""phone"": ""009647700710303"", ""_extra"": {""cuisine"": ""breakfast;ice_cream;tea;cake;coffee_shop;pizza;arab;turkish"", ""name_ku"": ""کافتریا و نانی بەیانیانی خانی"", ""all_phones"": [""009647700710303""], ""opening_hours"": ""Mo-Su 07:00-03:00""}, ""amenity"": ""cafe"", ""cuisine"": ""breakfast;ice_cream;tea;cake;coffee_shop;pizza;arab;turkish"", ""name:ar"": ""خانی كافی;مقهی و فطور خانی"", ""name:en"": ""Xani cafe & breakfast"", ""name:ku"": ""کافتریا و نانی بەیانیانی خانی"", ""website"": ""https://m.facebook.com/xanicafe"", ""addr:street"": ""شاری نەورۆز;71 Nawroz"", ""website:menu"": ""https://www.instagram.com/xanicafe/"", ""opening_hours"": ""Mo-Su 07:00-03:00"", ""internet_access"": ""wlan"", ""outdoor_seating"": ""no"", ""internet_access:fee"": ""customers""}",کافتریا و نانی بەیانیانی خانی,+9647700710303,شاری نەورۆز;71 nawroz,https://m.facebook.com/xanicafe,,,,,phone:+9647700710303,80,50,2026-04-02 11:32:20.059+00,true,false
02961357-3cd2-4e70-ab10-8439d6f62237,نانەواخانەی نوور,Noor Bakery,+9647707658088,,,62 Yalmaz Gonai,Sulaymaniyah,Sulaymaniyah,Iraq,35.53077340,45.43971080,Cafe,cafe,,,,,,osm,real,false,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,,"{""name"": ""نانەواخانەی نوور"", ""shop"": ""bakery"", ""phone"": ""07707658088"", ""_extra"": {""all_phones"": [""07707658088""], ""opening_hours"": ""Sa-Th 09:00-18:00""}, ""name:en"": ""Noor Bakery"", ""addr:street"": ""62 Yalmaz Gonai"", ""opening_hours"": ""Sa-Th 09:00-18:00""}",نانەواخانەی نوور,+9647707658088,62 yalmaz gonai,,,,,,phone:+9647707658088,70,50,2026-04-02 11:32:20.059+00,true,false
d69d7323-f6f9-437e-8efd-85aeaac5a102,Roterdam Café,,+9647717579038,,,Ashty,السليمانية,Sulaymaniyah,Iraq,35.56185500,45.41601100,Cafe,cafe,,,,,,osm,real,false,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,,"{""name"": ""Roterdam Café"", ""phone"": ""+9647717579038"", ""_extra"": {""all_phones"": [""+9647717579038""]}, ""amenity"": ""cafe"", ""addr:city"": ""السليمانية"", ""addr:full"": ""Ashty"", ""addr:country"": ""IQ"", ""addr:province"": ""محافظة السليمانية""}",roterdam café,+9647717579038,ashty,,,,,,phone:+9647717579038,55,50,2026-04-02 11:32:20.059+00,true,false
fb6d723b-11f1-4b21-ad41-d3b23b8551fd,Vintage Cafe,,+9647700151007,,,"107, Qadamkher 23",Slemani,Sulaymaniyah,Iraq,35.56182660,45.41500930,Cafe,cafe,,,,,,osm,real,false,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,,"{""name"": ""Vintage Cafe"", ""phone"": ""+9647700151007"", ""_extra"": {""cuisine"": ""coffee_shop"", ""postcode"": ""46001"", ""all_phones"": [""+9647700151007""], ""opening_hours"": ""Mo-Su 10:00-23:00""}, ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""smoking"": ""yes"", ""addr:city"": ""Slemani"", ""addr:street"": ""Qadamkher 23"", ""addr:postcode"": ""46001"", ""opening_hours"": ""Mo-Su 10:00-23:00"", ""internet_access"": ""yes"", ""addr:housenumber"": ""107"", ""internet_access:fee"": ""no""}",vintage cafe,+9647700151007,"107, qadamkher 23",,,,,,phone:+9647700151007,70,50,2026-04-02 11:32:20.059+00,true,false
308a8900-5736-4837-b373-4808bef5b8c9,عسمان اغا,Osman Axa Caffe,+9647508753282,,,406-2,Sulaymaniyah,Sulaymaniyah,Iraq,35.55921260,45.41982890,Cafe,cafe,,,,,,osm,real,false,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,,"{""name"": ""عسمان اغا"", ""phone"": ""07508753282"", ""_extra"": {""cuisine"": ""cake"", ""name_ku"": ""کافتریای عوسمان أغا"", ""all_phones"": [""07508753282""], ""opening_hours"": ""24/7""}, ""amenity"": ""cafe"", ""cuisine"": ""cake"", ""name:ar"": ""عسمان اغا كافى"", ""name:en"": ""Osman Axa Caffe"", ""name:ku"": ""کافتریای عوسمان أغا"", ""addr:street"": ""406-2"", ""opening_hours"": ""24/7"", ""internet_access"": ""wlan""}",عسمان اغا,+9647508753282,406-2,,,,,,phone:+9647508753282,55,50,2026-04-02 11:32:20.059+00,true,false
f61d60ec-e9de-4096-a641-d1d87d40dbc2,Suli Grand - Rest. I and Café,Suly grand cafe,+9647700331009,,,Saholaka Street,Sulaymaniyah,Sulaymaniyah,Iraq,35.55951260,45.42127780,Cafe,cafe,,,,,,osm,real,false,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,,"{""name"": ""Suli Grand - Rest. I and Café"", ""phone"": ""0770 033 1009"", ""_extra"": {""all_phones"": [""0770 033 1009""], ""opening_hours"": ""Mo-Su 10:00-03:00""}, ""amenity"": ""cafe"", ""name:en"": ""Suly grand cafe"", ""addr:street"": ""Saholaka Street"", ""opening_hours"": ""Mo-Su 10:00-03:00""}",suli grand - rest. i and café,+9647700331009,saholaka street,,,,,,phone:+9647700331009,70,50,2026-04-02 11:32:20.059+00,true,false
b8f3c5ce-cd8d-4322-be3f-53dae3ba8528,Jan Coffee,Jan Coffee,+9647727240004,https://www.jancoffee.com/,,Şeqamî Salim,Sulaymaniyah,Sulaymaniyah,Iraq,35.55869570,45.42449800,Cafe,cafe,,,,,,osm,real,false,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,2026-04-02 11:32:19.844213+00,,"{""name"": ""Jan Coffee"", ""phone"": ""+9647727240004"", ""_extra"": {""cuisine"": ""coffee_shop"", ""postcode"": ""46001"", ""all_phones"": [""+9647727240004""], ""opening_hours"": ""Mo-Su 11:00-23:00""}, ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name:en"": ""Jan Coffee"", ""website"": ""https://www.jancoffee.com/"", ""addr:city"": ""Sulaymaniyah"", ""addr:street"": ""Şeqamî Salim"", ""addr:postcode"": ""46001"", ""opening_hours"": ""Mo-Su 11:00-23:00"", ""outdoor_seating"": ""yes""}",jan coffee,+9647727240004,şeqamî salim,https://jancoffee.com,,,,,phone:+9647727240004,75,50,2026-04-02 11:32:20.059+00,true,false
