City,Pending,Rejected,Verified,address,admissions_email,admissions_page,business_name,category,city,completeness_score,confidence_score,contact_page,country,coverImage,coverimage,createdAt,created_at,created_by_agent,data_last_verified_date,data_quality,dedupe_key,description,descriptionAr,descriptionKu,descriptionar,descriptionku,distance,email,external_id,external_source_id,facebook,fsq_id,governorate,governorate_seed,id,imageUrl,imageurl,instagram,institution_id,institution_name,institution_type,isFeatured,isPremium,isVerified,is_active,is_suspicious,last_seen_at,lat,latitude,linkedin,lng,longitude,main_email,main_phone,maps_url,name,nameAr,nameKu,name_en,namear,nameku,needs_review,normalized_address,normalized_facebook,normalized_instagram,normalized_name,normalized_phone,normalized_website,notes,official_source_1,official_source_2,official_source_3,official_website,openHours,openhours,original_phone,phone,phone_status,priceRange,pricerange,public_private,rating,raw_data,registrar_email,registrar_page,reviewCount,scraped_at,search_tags,source,source_confidence,source_file,source_name,status,subcategory,tags,telegram,type,updated_at,verification_status,verified,website,whatsapp,whatsapp_public_link,x_twitter,youtube,﻿name
,,,,"Street 9, Krmat Ali, Dhi Qar",,,,fuel,Krmat Ali,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Basra Fuel - Krmat Ali - Gas station providing fuel, petroleum products, and basic automotive services. Located in Krmat Ali, Iraq.

Located at Street 9, Krmat Ali, Dhi Qar, Krmat Ali, Krmat Ali Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Krmat Ali,,001d3069-9137-47c5-93c0-730d9f571fee,,,,,,,false,false,false,,True,,,,,,,,,,Basra Fuel - Krmat Ali,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 21, Diwaniyah, Qadisiyyah",,,,furniture,Diwaniyah,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Baghdad Furniture 4 - Diwaniyah - Store offering home and office furniture, furnishings, and interior décor items. Located in Diwaniyah, Iraq.

Located at Street 21, Diwaniyah, Qadisiyyah, Diwaniyah, Al-Qadisiyyah Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Qadisiyyah,,001e23f7-0da2-46f5-abe9-136664156e1c,,,,,,,false,false,false,,True,,,,,,,,,,Baghdad Furniture 4 - Diwaniyah,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 10, Pirde, Erbil",,,,clothes,Pirde,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Classic Wear - Pirde - Retail store selling clothing, apparel, and fashion items for men, women, and children. Located in Pirde, Iraq.

Located at Street 10, Pirde, Erbil, Pirde, Pirde Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Pirde,,0029f684-e9c2-4bde-a56e-f90b66ff6e54,,,,,,,false,false,false,,True,,,,,,,,,,Classic Wear - Pirde,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 7, Kifl, Babil",,,,cafe,Kifl,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,Test description,,,,,,,,,,,TestGov,,00422273-f527-4591-a660-7a85b143a5c7,,,,,,,false,false,false,,True,,,,,,,,,,Erbil Espresso - Kifl,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 15, Al-Multaqa, Kirkuk",,,,restaurant,Al-Multaqa,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Dijla Restaurant 3 - Al-Multaqa - Food establishment serving meals, snacks, and beverages to customers on-site or for delivery. Located in Al-Multaqa, Iraq.

Located at Street 15, Al-Multaqa, Kirkuk, Al-Multaqa, Al-Multaqa Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Multaqa,,0046fa8d-4f26-41bc-98ae-49e70545a021,,,,,,,false,false,false,,True,,,,,,,,,,Dijla Restaurant 3 - Al-Multaqa,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 23, Sirwan, Halabja",,,,mosque,Sirwan,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,Test description 2,,,,,,,,,,,Sirwan,,00471c7c-72df-4e4d-a69c-0038346234a8,,,,,,,false,false,false,,True,,,,,,,,,,Imam Ali Shrine 4 - Sirwan,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 22, Al-Aziziyah, Wasit",,,,school,Al-Aziziyah,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Baghdad Academy 4 - Al-Aziziyah - Educational institution providing academic instruction and learning programs for students. Located in Al-Aziziyah, Iraq.

Located at Street 22, Al-Aziziyah, Wasit, Al-Aziziyah, Al-Aziziyah Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Al-Aziziyah,,0055d5e7-50c8-46ed-8c7b-a128c2c6495b,,,,,,,false,false,false,,True,,,,,,,,,,Baghdad Academy 4 - Al-Aziziyah,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 20, Sawa, Babil",,,,school,Sawa,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Progress Academy 3 - Sawa - Educational institution providing academic instruction and learning programs for students. Located in Sawa, Iraq.

Located at Street 20, Sawa, Babil, Sawa, Sawa Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,TestGov,,005c451c-9b64-4724-a21a-fe782722dea8,,,,,,,false,false,false,,True,,,,,,,,,,Progress Academy 3 - Sawa,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 18, Rabiya, Mosul",,,,cafe,Rabiya,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Basra Cafe 3 - Rabiya - Coffee shop offering beverages, light meals, and a comfortable space for socializing or work. Located in Rabiya, Iraq.

Located at Street 18, Rabiya, Mosul, Rabiya, Rabiya Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,Rabiya,,00614843-1ac6-45c4-9848-fd42d121db34,,,,,,,false,false,false,,True,,,,,,,,,,Basra Cafe 3 - Rabiya,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
,,,,"Street 12, Tel Afar, Mosul",,,,cafe,Tel Afar,,,,,,,2026-03-31 08:11:55.33832+00,,,,,,"Palmera Coffee 3 - Tel Afar - Coffee shop offering beverages, light meals, and a comfortable space for socializing or work. Located in Tel Afar, Iraq.

Located at Street 12, Tel Afar, Mosul, Tel Afar, Tel Afar Governorate. Easily accessible by car and public transportation.",,,,,,,,,,,TestGov,,00741b93-8361-4ee8-88f3-e6f4717fd9c1,,,,,,,false,false,false,,True,,,,,,,,,,Palmera Coffee 3 - Tel Afar,,,,,,,,,,,,,,,,,,,,,,empty,,,,4.0,,,,0,,,,,businesses_rows (2).csv,,,,{},,,,pending,,,,,,,
