name,name_en,phone,website,email,address,city,governorate,category,subcategory,latitude,longitude,facebook,instagram,data_quality,verified,source
فندق التاج,The Taj Hotel,+9647717777664,http://www.thetajhotel.com,,,Baghdad,Baghdad,Hotel,hotel,33.2849121,44.3974773,,,real,false,osm
فندق المهاجر,Almuhajir Hotel,+9647709744440,,almuhajir.hotel@gmaill.com,62 St.,Baghdad,Baghdad,Hotel,hotel,33.3058556,44.4485053,,,real,false,osm
المدائن الخالصة,,+9647719722087,,,شارع الأميرات,Baghdad,Baghdad,Hotel,hotel,33.3117,44.3559,,,real,false,osm
Yasmin hotel,,+9647733911015,,h51038464@gmail.com,"20, شارع المتحف",Baghdad,Baghdad,Hotel,hotel,33.3304731,44.3851016,,,real,false,osm
اليآسمين,Al Yasmin hotel,+9647733911015,http://h51038464@gmail.com,h51038464@gmail.com,"2, شارع المتحف",Baghdad,Baghdad,Hotel,hotel,33.330424,44.3850843,,,real,false,osm
فندق اليآسمين Yasmin hotel,Yasmin hotel,+9647733911015,,h51038464@gmail.com,"20, شارع المتحف",Baghdad,Baghdad,Hotel,hotel,33.3303922,44.3850786,,,real,false,osm
فندق الدار البيضاء,White Corner,+9647711324043,,,,Baghdad,Baghdad,Hotel,hotel,33.3364135,44.3997611,,,real,false,osm
شقق زهرة الخليج السياحي,,+9647809142391,,,بغداد السعدون,Baghdad,Baghdad,Hotel,hotel,33.3198838,44.4163598,,,real,false,osm
فندق الراية,Alraia hotel,+9647711540433,,,"07711540433, بغداد السعدون",Baghdad,Baghdad,Hotel,hotel,33.3216629,44.4159381,,,real,false,osm
فندق قصر نينوى,Ninewa Palace Hotel,+9647733331572,,,شارع السعدون,Baghdad,Baghdad,Hotel,hotel,33.3181014,44.4198194,,,real,false,osm
فندق رويال كاردين,Royal Garden hotel,+9647722622651,,,"07722622651, شارع السعدون",Baghdad,Baghdad,Hotel,hotel,33.3172029,44.4205482,,,real,false,osm
فندق سيڤان,sevan hotel,+9647702532669,,,,Baghdad,Baghdad,Hotel,hotel,33.326593,44.4125476,,,real,false,osm
فندق شناشيل,SHANASHEL PALACE HOTEL,+9647813666666,,,"4, Al-Nidhal St.",Baghdad,Baghdad,Hotel,hotel,33.3234228,44.4196549,,,real,false,osm
فندق مينا روز;مينا روز,Mena Rooz,+9647700015023,,,شارع المشجر,Baghdad,Baghdad,Hotel,hotel,33.3267661,44.4141036,,,real,false,osm
فندق عسل,,+9647721461888,,,قرب محطة وقود السعدون,بغداد,Baghdad,Hotel,hotel,33.3227205,44.4150099,,,real,false,osm
فندق عسل,العربيه,+9647721461888,,,"07721461888, شارع السعدون",Baghdad,Baghdad,Hotel,hotel,33.3227501,44.4148532,,,real,false,osm
Kasr Al-Barakat,,+9640756807654,,,,Baghdad,Baghdad,Hotel,hotel,33.3218803,44.416111,,,real,false,osm
فندق اليسر,,+9647716128390,,,,Baghdad,Baghdad,Hotel,hotel,33.3124255,44.4369019,,,real,false,osm
بيت حيدر الدراجي ابوعلي قطاع صفر,"خانه حیدر الدراجی، بخش ۰ Haider Al-Daraji's house, Sector 0",+9647712017531,,,"0, 521-3",Baghdad,Baghdad,Hotel,hotel,33.3576853,44.4491889,,,real,false,osm
فندق جنة الحسين,,+9647708881759,,,شارع باب المراد,Baghdad,Baghdad,Hotel,hotel,33.3798366,44.3431936,,,real,false,osm
فندق الحطيم,AL HATEEM HOTE,+9647806636357,,,شارع باب المراد,Baghdad,Baghdad,Hotel,hotel,33.3798612,44.3440032,,,real,false,osm
فندق السبط,Al Sebt Hotel,+9647800553515,,,شارع باب المراد,Baghdad,Baghdad,Hotel,hotel,33.3802247,44.3435996,,,real,false,osm
فندق قلب العالم,World Heart Hotel,+9647733330690,,,,Baghdad,Baghdad,Hotel,hotel,33.2750577,44.3641664,https://www.facebook.com/profile.php?id=61556073369551,https://www.instagram.com/worldheartmall_hotel/?hl=ar,real,false,osm
ليث عبد الرحمن هادي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2401346,44.3576308,,,partial,false,osm
علي عبد الرحمن هادي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2424331,44.3551486,,,partial,false,osm
حسين عبد الرحمن هادي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2494917,44.3608888,,,partial,false,osm
حمزة الاغا,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2334246,44.4048169,,,partial,false,osm
مولد ابو حاتم,,,,,"12, 842-12",Baghdad,Baghdad,Hotel,hotel,33.2555733,44.420309,,,partial,false,osm
ملابس عامرية,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3002276,44.2953872,,,partial,false,osm
قاعة بر الوالدين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2718168,44.3392995,,,partial,false,osm
مقر شركة بلد الرجال,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3060575,44.3377832,,,partial,false,osm
جار اليرموك,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2963217,44.34437,,,partial,false,osm
فندق اليرموك الدولي,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3005207,44.3424968,,,partial,false,osm
بيت حسين فالح محمد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3499965,44.2719997,,,partial,false,osm
بيت حسين فالح محمد,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3512382,44.272313,,,partial,false,osm
فندق وشقق أومري,Aumary Hotel & Residences,,,,607-3,بغداد,Baghdad,Hotel,hotel,33.3245875,44.3497074,,,partial,false,osm
مجمع العدل,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3466198,44.3222251,,,partial,false,osm
دكتورة پروين,,,,,,Baghdad,Baghdad,Hotel,hotel,33.3525639,44.3158386,,,partial,false,osm
دار الضيافة ياقوت البحر,,,,,,Baghdad,Baghdad,Hotel,hotel,33.2867993,44.3845657,,,partial,false,osm
فندق كورال,Coral Hotel,,https://coralbaghdad.com/homepage/,,شارع الجامعة,بغداد,Baghdad,Hotel,hotel,33.2826614,44.3940286,https://www.facebook.com/coralboutiquebaghdad/,,partial,false,osm
