name,name_en,phone,website,email,address,city,governorate,category,subcategory,latitude,longitude,facebook,instagram,data_quality,verified,source
hama james,,+9647719899405,http://snapchat/hamagyan2020.com,hamayk444@gmail.com,"11, Bakrajo",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"مارکێتی سەرکۆ",maly hama james,+9647719899405,http://Facebook/hamayk.com,hamayk444@gmail.com,"21, Bakrajo",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"سوق یارا",Yara market,+9647501884082,,sleman.abdulrahman@gmail.com,Bakrajo,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"کۆمپیتەر و مۆبایلی ڕێبین",Rebin for mobile and computer,+9647701242384,,r.rebin@icloud.com,Bakrajo,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Bwary Mobile,,+9647701937323,,,Bkrajo,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
Babagul Market,,+9647721520602,,,Chwar Chra- Dw Saidaka,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
Darya shop,,+9647700596000,,,"416, ڕێگای ئاوبارە - بەکرەجۆ","سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
"سوق برهان",burhan market,+9647735452525,,,Pishasazi 416,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Saib City Market,,+9647700469995,,,,"سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
Dana Market,,+9647511835303,,,Guly Shar,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
pedawesty mall,pedawesty mall,+9647702124413,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"مینی مارکێتی شرام",Mini market guly mina,+9647702445470,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Shadost Supermarket,,+9647504530003,,,Kurd City,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
Choman Mobile,Choman Mobile,+9647702486214,,,46001,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Sangar Tech,,+9647709907092,https://sangartech.com/,,401-70,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,https://facebook.com/sangartech,,real,,
"سووپەر مارکێتی دیاردە",,+9647502214891,www.openstreetmap.com,,"qalawa, 405-16",slemany,Sulaymaniyah,shopping,shop,,,,,real,,
Halabja Market,,+9647701526067,,,Chwarbakh- Near Sulaimanyah Stadium,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"ئاسیا فۆن",asiaphone salim,+9647711513333,,,Salim Street,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"هەرزان بازاڕی کۆژیار ٢",Kozhyar 2 Supermarket,+9647703909900,,,406-2,Sulaimanyah,Sulaymaniyah,shopping,shop,,,,,real,,
"تۆپ ئایتی",TopIT Company,+9647703328080,,,Salim Street,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"بالەی ئیلیان",Balay eilyan,+9647734660909,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Elena Phone,,+9647700860001,,,"Al-Sulaymaniyah, Xabat, nzik fulkay xabat","السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"جل و بەرگی پیاوان",Men’s fashion,+9647712245656,https://www.facebook.com/Balay.Awrupy.Rebaz/,,Malik Mahmud Street,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
Manasa Market,,+9647701593756,,,Mama Yara- Near Mama Yara School,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
Maryam's Couture,,+9647704769292,maryamcouture.com,,Şeqamî Salim,Sulaimanyah,Sulaymaniyah,shopping,shop,,,,,real,,
"papula_gift store پەپولە گیفت",,+9647503163084,https://www.instagram.com/papula_gift_/?hl=en,,"964, ChwarBakh",Sulaymānīyah),Sulaymaniyah,shopping,shop,,,https://www.facebook.com/profile.php?id=100078937756682,,real,,
"ئاسیافون",asiaphone,+9647701513333,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"ئەلکترۆ ئاکار",Akar Electric,+9647701518111,https://www.rak-group.com/,akar@rak-group.con,"3, Mawlawi Street",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"کوتاڵی کامەران",,+9647701945868,,,"77, Mawlawi Street","سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
"صابر مام شكور",,+9647701535000,,,,"السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"ابل للكرد",Apple For Kurd Reper Mobile,+9647502003545,https://www.appleforkurd.com/,th3m3nd@gmail.com,Mawlawi Street,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"جیهانی کریستاڵ",,+964533260777,,crystalworld-gc@hotmail.com,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"ماستربلس",MasterPlus,+9647705053433,https://www.facebook.com/Master.plus.vip/,,"شەقامی مەولەوی",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"بيبي شيما",Baby Shaima,+9647701619941,,,"شەقامی کاوە",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"سەنتەری ھەتـاو",Hataw Center,+9647702240406,https://hataw.krd/,hataw.center@gmail.com,"شەقامی مەولەوی",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
flagship store,,+9647722505151,,,"بەرامبەر LC Wakiki, شەقامی مەولەوی","سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
Sun natoo company,,+9647701919600,,,"457, شەقامی کاوە","سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
"ستایلەر کۆلێکشن",styler collection,+9647501080000,https://instagram.com/styler_collection,,"1, 101-52",sulaymanyiah,Sulaymaniyah,shopping,shop,,,,,real,,
Suli Shipping,,+9647705053323,https://www.trendyol.com/,msalahaddin29@yahoo.com,zara market street,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"شيب تو كردستان-سليمانية",ship to Kurdistan-slemani,+9647705053323,https://www.trendyol.com/,msalahaddin29@yahoo.com,zara street,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"پێشانگای شازیار",Shazyar's Show,+9647701572634,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"موبایلی پۆڵا",Pola for Phone Services,+9647501111156,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"وە‌رشە‌ی شنروێ",Shnirwe Workshop,+9647507304606,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"متجر برادوست",Bradost Center,+9647701529726,http://Bradostceneter.iq,Bradostcenetr@mail.iq,"13, Kak Ahmadi Shekh Street 17",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"ئامانج فۆن",,+9647501119474,,,Jawazaka,"سلێمانی",Sulaymaniyah,shopping,shop,,,,,real,,
"پێشانگای ئەریکسۆن",Ericsson shop for selling all mobile device accessories,+9647701523925,,,"31, kawa Street",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"مۆرهەڵکەنی تەنیا",Tanya Stamping,+9647701917206,,,18 Sabwnkaran,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"ڕەوەز فۆن","rawaz phone-رةوةز فون",+9647701554833,http://rawazphone@gmail.com,,"شةقامي كاوة -بشت بازاري جةوازةكة -تةلاري حةمة سور -نهوومي دووةم ..دوكاني ژمارة (٣)",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"پيشانكاي inkax",peshangay inkax,+9647701047002,,,"شةقامي كاوة -بازاري جةوازةكة /دوكاني ژمارة (2)",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
barham phone,,+9647701464368,"https://www.google.iq/maps/place/Barham+phone/@35.555808,45.4419378,556m/data=!3m1!1e3!4m6!3m5!1s0x40002d54e332d913:0xc1c23c1b30a6ea0f!8m2!3d35.5588451!4d45.445818!16s%2Fg%2F11h_dwjltg",,"HC4V+844, Sulaymaniyah 46001, HC4V+844, Sulaymaniyah 46001","السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"ئەژی تێل",,+9647708885757,http://www.Facebook.com/AZHI.TEL,azhitel9@gmail.com,"07501687178, شەقامی کاوە","السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
Wsha Phone Company,,+9647701528756,https://www.facebook.com/WshaPhone,wsha.phone2021@gmail.com,"HC4V+68 Sulaymaniyah, HC4V+68 Sulaymaniyah","السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
Barham Phone,,+9647701464368,https://www.facebook.com/barhamphone,,"HC4V+844, Sulaymaniyah 46001, HC4V+844, Sulaymaniyah 46001","السليمانية",Sulaymaniyah,shopping,shop,,,,,real,,
"گەراجی بەختیار حاجی عارف",,+9647707904448,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"موبايلي سه رده م",Sardam mobail,+9647511578363,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"مكتب سردم",Sardam mobail and reper shop,+9647511578363,,,,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"فرۆشگای کریشما (بەختیار حاجی عارف)",,+9649641904448,,,"18 سابونکەران",Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"فرۆشگای ڕێژنە",Rezhna mini market,+9647701934377,,,22 Peramerd,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
"عیسی فۆن",Isa Phone,+9647501117325,,,22 Peramerd,Sulaymaniyah,Sulaymaniyah,shopping,shop,,,,,real,,
