institution_id,country,governorate_seed,institution_name,institution_type,public_private,official_website,contact_page,admissions_page,registrar_page,main_email,admissions_email,registrar_email,main_phone,address,facebook,instagram,telegram,linkedin,x_twitter,youtube,whatsapp_public_link,official_source_1,official_source_2,official_source_3,verification_status,data_last_verified_date,notes
IRQ-001,Iraq,Anbar,Anbar University,university,public,https://www.uoanbar.edu.iq/,,,,,,,,,,,,,,,,https://www.uoanbar.edu.iq,https://www.mohesr.gov.iq/en/,,official_website_confirmed,2026-04-01,
IRQ-002,Iraq,Babil,University of Babylon,university,public,https://www.uobabylon.edu.iq/,,,,,,,,,,,,,,,,https://www.uobabylon.edu.iq,https://www.mohesr.gov.iq/en/,,official_website_confirmed,2026-04-01,
IRQ-003,Iraq,Baghdad,University of Baghdad,university,public,https://www.uobaghdad.edu.iq/,,,,,,,,,,,,,,,,https://www.uobaghdad.edu.iq,https://www.mohesr.gov.iq/en/,,official_website_confirmed,2026-04-01,
IRQ-004,Iraq,Baghdad,Mustansiriyah University,university,public,https://www.uomustansiriyah.edu.iq/,,,,,,,,,,,,,,,,https://www.uomustansiriyah.edu.iq,https://www.mohesr.gov.iq/en/,,official_website_confirmed,2026-04-01,
IRQ-005,Iraq,Baghdad,Al-Iraqia University,university,public,https://www.uoiraq.edu.iq,,,,,,,,,,,,,,,,https://www.uoiraq.edu.iq,https://www.mohesr.gov.iq/en/,,seed_url_only,2026-04-01,
IRQ-006,Iraq,Baghdad,"University of Technology, Iraq",university,public,https://www.uotechnology.edu.iq,,,,,,,,,,,,,,,,https://www.uotechnology.edu.iq,https://www.mohesr.gov.iq/en/,,seed_url_only,2026-04-01,
IRQ-007,Iraq,Baghdad,Technical University of Baghdad,university,public,http://www.tu.edu.iq,,,,,,,,,,,,,,,,https://www.mohesr.gov.iq/en/,https://www.mohesr.gov.iq/en/,,needs_manual_review,2026-04-01,Seed URL overlaps with Tikrit University domain; official website not independently confirmed in this pass.
IRQ-008,Iraq,Baghdad,Middle Technical University,university,public,https://www.mtu.edu.iq/,,,,,,,,,,,,,,,,http://www.mtu.edu.iq,https://www.mohesr.gov.iq/en/,,official_website_confirmed,2026-04-01,
IRQ-009,Iraq,Baghdad,Al-Nahrain University,university,public,http://www.nahrainuniv.edu.iq,,,,,,,,,,,,,,,,http://www.nahrainuniv.edu.iq,https://www.mohesr.gov.iq/en/,,seed_url_only,2026-04-01,
IRQ-010,Iraq,Baghdad,Al-Mansour University College,college,private,http://www.almansour.edu.iq,,,,,,,,,,,,,,,,http://www.almansour.edu.iq,https://www.mohesr.gov.iq/en/private_universities,,seed_url_only,2026-04-01,
IRQ-011,Iraq,Baghdad,Al-Yarmok University College,college,private,https://al-yarmok.edu.iq/,https://al-yarmok.edu.iq/en/contact/,,,info@al-yarmok.edu.iq,,,07901843429; 07737497053,"Diyala - Baqubah, Near Al-Rahma Hospital",https://www.facebook.com/y.u.c.iq/,https://www.instagram.com/y.u.c.iq/,https://t.me/yuciq,,,,,https://al-yarmok.edu.iq/en/contact/,https://al-yarmok.edu.iq/,,verified_official_contact_page,2026-04-01,Official contact page found; seed list had no URL.
IRQ-012,Iraq,Baghdad,Al-Nisour University College,college,private,https://nuc.edu.iq/,,,,info@nuc.edu.iq,,,,,,,,,,,,https://nuc.edu.iq/,https://nuc.edu.iq/NUC_admission.pdf,,partially_verified_official_site,2026-04-01,Official website and email verified; contact details still incomplete in this pass.
