ID,Business Name,Arabic Name,English Name,Category,Subcategory,Governorate,City,Neighborhood,Phone 1,Phone 2,WhatsApp,Email 1,Website,Facebook,Instagram,TikTok,Telegram,Opening Hours,Status,Rating,Verification,Confidence
693,قصر العباس ع,,,Hotels & Stays,general,Najaf,Najaf,"Najaf, Iraq",07832415997,,,,,,,,,,active,,verified,
1006,Kahramana,,,Hotels & Stays,general,Nineveh,Nineveh,"Nineveh, Iraq",07511744714,,,,,,,,,,active,,verified,
1007,فندق مودرن بلازا - الفرع الثاني,,,Hotels & Stays,general,Nineveh,Nineveh,"Nineveh, Iraq",07732000664,,,,,,,,,,active,,verified,
0419d80d-f824-4267-9285-9d5df6fc63df,زعفران,,,Shop/Retail,shop,Erbil,أربيل,"#11 Zaafaran, Ankawa Two-way Road, قضاء أربيل",07502207000,,,zaafaran@goldenlivingco.com,https://www.goldenlivingco.com/zaafaran,,,,,,active,,false,
0b6d4a3c-294b-4543-9c7e-53d72ccbdcc2,ANAS MOBILE,,,Shop/Retail,shop,Erbil,erbil,erbil,07502212012,,,,,,,,,,active,,false,
15486fe8-c79f-4c59-8460-91e35f32321b,Qadr Khoshnaw,,,Shop/Retail,shop,Erbil,Erbil,109-53,07504139328,,,,,,,,,,active,,false,
1c33bff9-9b96-48a7-8ee2-2440e888f7cd,چۆکۆ بێری,,,Cafe,cafe,Erbil,أربيل,"Gulan, قضاء أربيل",07515181234,,,,,,,,,,active,,false,
1fc3d068-048e-4cee-af63-a5ee1c6dffe7,Serpil Vip,,,Shop/Retail,shop,Erbil,أربيل,"شەقامی سامی شۆڕش, قضاء أربيل",07504240003,,,,https://www.instagram.com/serpil__fashion_vip,,,,,,active,,false,
37f02975-4496-4559-b098-286dc33a1df5,Gantha Cafe,,,Cafe,cafe,Erbil,أربيل,قضاء أربيل,07511117776,,,,,,,,,,active,,false,
4326b3f7-1f30-4fca-8d1c-21dafc65d7c1,JEHANY MOBILE,,,Shop/Retail,shop,Erbil,Erbil,,07501811111,,,,,,,,,,active,,false,
44c8ba4d-c196-43a2-b7b7-342d75e68290,موبايل وليد,,,Shop/Retail,shop,Erbil,أربيل,"4400, Dar u Asn Street, قضاء أربيل",07812395665,,,wallid1992@gmail.com,,,,,,,active,,false,
4d88c7f7-881d-4193-a8a5-84a413061bcf,سیدرە ڤی ئایپی,,,Shop/Retail,shop,Erbil,أربيل,"شەقامی کەرکووک, قضاء أربيل",07504240003,,,,https://www.instagram.com/sedra_vip_fashion,,,,,,active,,false,
582373be-c165-4845-8f5d-f89343b1e4b9,Sedra Vip,,,Shop/Retail,shop,Erbil,أربيل,"شەقامی کەرکووک, قضاء أربيل",07504240003,,,,https://www.instagram.com/sedra_vip_fashion,,,,,,active,,false,
597cae0a-06db-402e-8869-f9ec491d227d,گەرم و خێرا,,,Restaurant,restaurant,Sulaymaniyah,Sulaymaniyah,113-61,07716801000,,,,,,,,,,active,,false,
597cf902-3906-4d7f-960a-822299b88ec3,شاورمه و پيتزاى وارشۆ دلیڤەری,,,Restaurant,restaurant,Sulaymaniyah,Sulaymaniyah,"1, 215-9",07700688000,,,zana.warsho@gmail.com,http://www.warsho@gmail.com,,,,,,active,,false,
