ID,Business Name,Arabic Name,English Name,Category,Subcategory,Governorate,City,Neighborhood,Phone 1,Phone 2,WhatsApp,Email 1,Website,Facebook,Instagram,TikTok,Telegram,Opening Hours,Status,Rating,Verification,Confidence
001d3069-9137-47c5-93c0-730d9f571fee,Basra Fuel - Krmat Ali,,,fuel,,,Krmat Ali,"Street 9, Krmat Ali, Dhi Qar",077022020686,,,,,,,,,,active,0.0,false,
001e23f7-0da2-46f5-abe9-136664156e1c,Baghdad Furniture 4 - Diwaniyah,,,furniture,,,Diwaniyah,"Street 21, Diwaniyah, Qadisiyyah",079037320809,,,,,,,,,,active,0.0,false,
0029f684-e9c2-4bde-a56e-f90b66ff6e54,Classic Wear - Pirde,,,clothes,,,Pirde,"Street 10, Pirde, Erbil",079045195285,,,,,,,,,,active,0.0,false,
00422273-f527-4591-a660-7a85b143a5c7,Erbil Espresso - Kifl,,,cafe,,,Kifl,"Street 7, Kifl, Babil",079011008360,,,,,,,,,,active,0.0,false,
0046fa8d-4f26-41bc-98ae-49e70545a021,Dijla Restaurant 3 - Al-Multaqa,,,restaurant,,,Al-Multaqa,"Street 15, Al-Multaqa, Kirkuk",078111647291,,,,,,,,,,active,0.0,false,
00471c7c-72df-4e4d-a69c-0038346234a8,Imam Ali Shrine 4 - Sirwan,,,mosque,,,Sirwan,"Street 23, Sirwan, Halabja",077014546258,,,,,,,,,,active,0.0,false,
0055d5e7-50c8-46ed-8c7b-a128c2c6495b,Baghdad Academy 4 - Al-Aziziyah,,,school,,,Al-Aziziyah,"Street 22, Al-Aziziyah, Wasit",077029386626,,,,,,,,,,active,0.0,false,
005c451c-9b64-4724-a21a-fe782722dea8,Progress Academy 3 - Sawa,,,school,,,Sawa,"Street 20, Sawa, Babil",078114955909,,,,,,,,,,active,0.0,false,
00614843-1ac6-45c4-9848-fd42d121db34,Basra Cafe 3 - Rabiya,,,cafe,,,Rabiya,"Street 18, Rabiya, Mosul",078211261290,,,,,,,,,,active,0.0,false,
00741b93-8361-4ee8-88f3-e6f4717fd9c1,Palmera Coffee 3 - Tel Afar,,,cafe,,,Tel Afar,"Street 12, Tel Afar, Mosul",079017301521,,,,,,,,,,active,0.0,false,
0079b313-271e-4e9a-b734-c994483643af,Tech City Baghdad 4 - Sulaymaniyah City,,,electronics,,,Sulaymaniyah City,"Street 21, Sulaymaniyah City, Sulaymaniyah",079018619003,,,,,,,,,,active,0.0,false,
0087e516-15ff-46ad-8424-f3cd9760e82f,Erbil Pharmacy - Al-Jubba,,,pharmacy,,,Al-Jubba,"Street 7, Al-Jubba, Karbala",078119219929,,,,,,,,,,active,0.0,false,
00884fd6-2052-4e2f-baf2-6729a958735b,Karrada Grill 3 - Smawa,,,restaurant,,,Smawa,"Street 20, Smawa, Dhi Qar",079023514835,,,,,,,,,,active,0.0,false,
00927551-4f2c-4365-8a6e-0621df338142,Al-Mustansiriya School - Kirkuk City,,,school,,,Kirkuk City,"Street 1, Kirkuk City, Kirkuk",079038637511,,,,,,,,,,active,0.0,false,
009415a8-18fb-4b4d-a9ac-1a2758f4553f,Erbil Fashion - Halabja,,,clothes,,,Halabja,"Street 3, Halabja, Sulaymaniyah",079022408603,,,,,,,,,,active,0.0,false,
0098e76d-4d84-4924-ae87-83f1fba51917,Kirkuk Terminal - Rabiya,,,bus_station,,,Rabiya,"Street 8, Rabiya, Mosul",079038315574,,,,,,,,,,active,0.0,false,
00a20b49-ac86-4708-8ad9-dba4d334acb9,Al-Zawraa Cafe 4 - Al-Hayy,,,cafe,,,Al-Hayy,"Street 23, Al-Hayy, Wasit",078012304903,,,,,,,,,,active,0.0,false,
00ababe7-35ae-4072-b129-39f687bc132e,Imam Ali Shrine - Muqdadiyah,,,mosque,,,Muqdadiyah,"Street 3, Muqdadiyah, Diyala",078219011911,,,,,,,,,,active,0.0,false,
00ad95b2-99b5-450e-b323-d2d594609e3d,Al-Wasiti Hospital 3 - Bardarash,,,hospital,,,Bardarash,"Street 18, Bardarash, Dohuk",078219833510,,,,,,,,,,active,0.0,false,
00b4cb53-e686-4cf9-8de0-b196a279a6ea,Basra Transport Hub 4 - Al-Aziziyah,,,bus_station,,,Al-Aziziyah,"Street 22, Al-Aziziyah, Wasit",078113581838,,,,,,,,,,active,0.0,false,
00c57625-b6de-49a4-8bbc-09e4986414cf,Erbil International School - Manathira,,,school,,,Manathira,"Street 3, Manathira, Najaf",079045846583,,,,,,,,,,active,0.0,false,
